"Source:","C:\Users\ASus\Desktop\kicad proteus projects\Charger ShutDown Circuit\charger ShutDown Circuit.kicad_sch"
"Date:","28-10-2023 16:55:17"
"Tool:","Eeschema 7.0.5"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","21"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"J1, J2, J3, J4, J5, J6, J7","7","Screw_Terminal_01x02","Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"K1, K5","2","SRD-12VDC-SL-C","SRD-12VDC-SL-C","RELAY_SRD-12VDC-SL-C","","",""
"K2, K4","2","RT44xxxx","RT44xxxx","Relay_THT:Relay_DPST_Schrack-RT2-FormA_RM5mm","Schrack RT2 relay, monostable dual pole normally open, DC or AC coil","",""
"Q1, Q2","2","2N7002","2N7002","Package_TO_SOT_SMD:SOT-23","0.115A Id, 60V Vds, N-Channel MOSFET, SOT-23","",""
"R1, R4","2","100","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R2, R5","2","10k","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R3, R6","2","680","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"U1","1","SN74LS32N","SN74LS32N","SN74LS32N:DIP794W45P254L1969H508Q14","","",""
"U2","1","L7805","L7805","Package_TO_SOT_THT:TO-220-3_Vertical","Positive 1.5A 35V Linear Regulator, Fixed Output 5V, TO-220/TO-263/TO-252","",""
